78.012	0.00	78.078
78.012	0.25	78.124
78.012	0.50	78.138
78.012	0.75	78.159
78.012	1.00	78.178
78.012	1.25	78.189
78.012	1.50	78.204
78.012	1.75	78.210
78.012	2.00	78.310
78.012	2.25	78.494
78.012	2.50	78.869
78.012	2.75	79.510
78.012	3.00	80.425
78.012	3.25	81.798
78.012	3.50	83.282
78.012	3.75	85.162
78.012	4.00	87.439
78.012	4.25	89.956
78.012	4.50	92.832
78.012	4.75	95.856
78.012	5.00	99.302
78.012	5.25	102.858
78.012	5.50	106.512
78.012	5.75	110.432
78.012	6.00	114.445
78.012	6.25	118.539
78.012	6.50	122.812
78.012	6.75	126.945
78.012	7.00	131.456
78.577	0.00	78.622
78.577	0.25	78.645
78.577	0.50	78.707
78.577	0.75	78.713
78.577	1.00	78.720
78.577	1.25	78.723
78.577	1.50	78.755
78.577	1.75	78.831
78.577	2.00	79.025
78.577	2.25	79.425
78.577	2.50	80.056
78.577	2.75	80.968
78.577	3.00	82.309
78.577	3.25	83.934
78.577	3.50	85.935
78.577	3.75	88.204
78.577	4.00	90.824
78.577	4.25	93.837
78.577	4.50	96.925
78.577	4.75	100.232
78.577	5.00	103.945
78.577	5.25	107.846
78.577	5.50	111.854
78.577	5.75	115.959
78.577	6.00	120.434
78.577	6.25	124.567
78.577	6.50	129.124
78.577	6.75	133.867
78.577	7.00	137.456
82.267	0.00	82.300
82.267	0.25	82.300
82.267	0.50	82.305
82.267	0.75	82.311
82.267	1.00	82.305
82.267	1.25	82.309
82.267	1.50	82.315
82.267	1.75	82.326
82.267	2.00	82.418
82.267	2.25	82.600
82.267	2.50	82.970
82.267	2.75	83.556
82.267	3.00	84.538
82.267	3.25	85.707
82.267	3.50	87.357
82.267	3.75	89.311
82.267	4.00	91.508
82.267	4.25	94.239
82.267	4.50	97.050
82.267	4.75	100.225
82.267	5.00	103.747
82.267	5.25	107.496
82.267	5.50	111.566
82.267	5.75	115.477
82.267	6.00	119.767
82.267	6.25	123.967
82.267	6.50	128.512
82.267	6.75	133.105
82.267	7.00	137.687
