81.535	0.25	81.607
81.535	0.50	81.623
81.535	0.75	81.658
81.535	1.00	81.688
81.535	1.25	81.690
81.535	1.50	81.718
81.535	1.75	81.742
81.535	2.00	81.867
81.535	2.25	82.144
81.535	2.50	82.647
81.535	2.75	83.436
81.535	3.00	84.650
81.535	3.25	86.211
81.535	3.50	88.256
81.535	3.75	90.559
81.535	4.00	93.429
81.535	4.25	96.574
81.535	4.50	100.101
81.535	4.75	104.023
81.535	5.00	108.231
81.535	5.25	112.618
81.535	5.50	117.445
81.535	5.75	122.105
81.535	6.00	127.105
81.535	6.25	132.115
81.535	6.50	137.256
81.535	6.75	142.445
81.535	7.00	147.856
82.978	0.00	82.997
82.978	0.25	82.990
82.978	0.50	82.993
82.978	0.75	83.002
82.978	1.00	83.260
82.978	1.25	83.052
82.978	1.50	83.057
82.978	1.75	83.090
82.978	2.00	83.212
82.978	2.25	83.473
82.978	2.50	83.997
82.978	2.75	84.911
82.978	3.00	86.123
82.978	3.25	87.635
82.978	3.50	89.767
82.978	3.75	92.145
82.978	4.00	94.876
82.978	4.25	98.224
82.978	4.50	101.545
82.978	4.75	105.345
82.978	5.00	109.675
82.978	5.25	113.668
82.978	5.50	117.920
82.978	5.75	122.654
82.978	6.00	127.134
82.978	6.25	132.767
82.978	6.50	137.224
82.978	6.75	142.110
82.978	7.00	147.078
